x,origin,n_10,n_100,n_1000,n_10000
-4,0.00013383022576488537,0.00000534719936090495,0.000014923293104226504,0.0002054016103276322,0.00013132535939291948
-3.99,0.00013928497646575994,0.000005666961071120912,0.00001566684508838585,0.0002133646779576298,0.00013666507618693638
-3.98,0.00014494756042389106,0.000006004954988342721,0.00001644554608965702,0.00022161517656205844,0.00014220778043221428
-3.97,0.0001508252715505178,0.000006362165431310574,0.000017260958919447334,0.00023016260546715326,0.00014796058124405052
-3.96,0.00015692563406553226,0.0000067396265570017156,0.0000181147109448147,0.0002390167436592606,0.0001539308118222169
-3.95,0.000163256408766242,0.000007138424694477393,0.000019008496519384677,0.00024818765674249364,0.0001601260355436296
-3.94,0.00016982559942934359,0.000007559700777600366,0.000019944079495040658,0.0002576857040241361,0.00016655405218456067
-3.93,0.00017664145934757092,0.000008004652880263258,0.00002092329581659644,0.0002675215457285404,0.00017322290427383206
-3.92,0.0001837124980024571,0.000008474538857874275,0.00002194805620170884,0.00027770615034022233,0.00018014088357840827
-3.91,0.00019104748787459762,0.000008970679098954983,0.000023020348908320245,0.00028825080207677955,0.00018731653772275262
-3.9,0.00019865547139277272,0.000009494459390814612,0.000024142242591969703,0.0002991671084922076,0.00019475867694328648
-3.89,0.00020654576802322548,0.000010047333903376342,0.000025315889255342845,0.00031046700821110463,0.00020247638097923554
-3.88,0.00021472798150036704,0.000010630828295344039,0.000026543527292477486,0.00032216277879420835,0.0002104790061011155
-3.87,0.00022321200720010206,0.000011246542947012633,0.000027827484630077808,0.00033426704473560245,0.00021877619227804497
-3.86,0.00023200803965694238,0.00001189615632414045,0.000029170181968429827,0.0003467927855918987,0.00022737787048503964
-3.85,0.00024112658022599324,0.000012581428477419581,0.00003057413612444973,0.00035975334424356246,0.0002362942701513739
-3.84,0.00025057844489086075,0.000013304204682198506,0.00003204196347943437,0.0003731624352885274,0.00024553592675105026
-3.83,0.00026037477221844247,0.00001406641922323084,0.000033576383534120036,0.00038703415356810877,0.0002551136895363453
-3.82,0.000270527031461521,0.000014870099329344996,0.00003518022257369647,0.0004013829828251703,0.00026503872941535184
-3.81,0.0002810470308099863,0.000015717369263050833,0.00003685641744545138,0.0004162238044943835,0.0002753225469743549
-3.8,0.00029194692579146027,0.000016610454570222303,0.000038608019451765726,0.0004315719066243409,0.0002859769806458254
-3.79,0.00030323922782200417,0.00001755168649511876,0.00004043819836120413,0.000447442992931162,0.0002970142150227274
-3.78,0.0003149368129075219,0.00001854350656613033,0.00004235024654049021,0.0004638531919831602,0.0003084467893197721
-3.77,0.000327052930496375,0.000019588471357758868,0.000044347583210176436,0.00048081906651599844,0.0003202876059821592
-3.76,0.0003396012124836548,0.000020689257434469807,0.000046433758826858934,0.0004983576228776787,0.00033254993944227806
-3.75,0.0003525956823674454,0.000021848666482175304,0.000048612459594813577,0.0005164863206025714,0.0003452474450247299
-3.74,0.00036605076455733496,0.000023069630633234752,0.00005088751210996123,0.0005352230821136126,0.0003583941679999782
-3.73,0.0003799812938353214,0.000024355217990983174,0.00005326288813909124,0.0005545863025516206,0.00037200455278679735
-3.7199999999999998,0.0003944025249691569,0.000025708638359923117,0.000055742709537307736,0.0005745948597306216,0.0003860934523036281
